DATE,monthly_retail,close
4/1/1998,213633.00,
5/1/1998,214639.00,
6/1/1998,216337.00,
7/1/1998,214841.00,
8/1/1998,213636.00,
9/1/1998,215720.00,
10/1/1998,219483.00,
11/1/1998,221134.00,
12/1/1998,223179.00,
1/1/1999,223997.00,
2/1/1999,226250.00,286.9
3/1/1999,227417.00,286.7
4/1/1999,229037.00,
5/1/1999,231235.00,
6/1/1999,231903.00,
7/1/1999,233948.00,
8/1/1999,236566.00,
9/1/1999,237481.00,
10/1/1999,237553.00,
11/1/1999,240544.00,
12/1/1999,245485.00,
1/1/2000,243436.00,
2/1/2000,247133.00,283
3/1/2000,249825.00,292.9
4/1/2000,245831.00,
5/1/2000,246201.00,
6/1/2000,248160.00,
7/1/2000,247176.00,
8/1/2000,247576.00,
9/1/2000,251837.00,
10/1/2000,251221.00,
11/1/2000,250331.00,
12/1/2000,250658.00,
1/1/2001,252654.00,
2/1/2001,252704.00,267.65
3/1/2001,250328.00,266.35
4/1/2001,254763.00,
5/1/2001,255218.00,
6/1/2001,254022.00,
7/1/2001,252997.00,
8/1/2001,254560.00,
9/1/2001,249845.00,
10/1/2001,267999.00,
11/1/2001,260514.00,
12/1/2001,256549.00,
1/1/2002,256307.00,
2/1/2002,257670.00,283.9
3/1/2002,257059.00,295.4
4/1/2002,261333.00,
5/1/2002,257573.00,
6/1/2002,259786.00,
7/1/2002,262769.00,
8/1/2002,265043.00,
9/1/2002,260626.00,
10/1/2002,261953.00,
11/1/2002,263568.00,
12/1/2002,265930.00,
1/1/2003,267230.00,
2/1/2003,263188.00,369.5
3/1/2003,267820.00,345.5
4/1/2003,267197.00,
5/1/2003,267362.00,
6/1/2003,270396.00,
7/1/2003,273352.00,
8/1/2003,277965.00,
9/1/2003,276430.00,
10/1/2003,274764.00,
11/1/2003,278298.00,
12/1/2003,277612.00,
1/1/2004,278913.00,
2/1/2004,280932.00,398.35
3/1/2004,286209.00,400
4/1/2004,282952.00,
5/1/2004,288252.00,
6/1/2004,284133.00,
7/1/2004,287358.00,
8/1/2004,287941.00,
9/1/2004,293139.00,
10/1/2004,295115.00,
11/1/2004,296177.00,
12/1/2004,299763.00,
1/1/2005,296696.00,
2/1/2005,300557.00,420.9
3/1/2005,301308.00,433.45
4/1/2005,303760.00,
5/1/2005,301776.00,
6/1/2005,310989.00,
7/1/2005,313520.00,
8/1/2005,310046.00,
9/1/2005,310673.00,
10/1/2005,310479.00,
11/1/2005,313303.00,
12/1/2005,313473.00,
1/1/2006,322348.00,
2/1/2006,320171.00,568.25
3/1/2006,320869.00,564.25
4/1/2006,322561.00,
5/1/2006,321794.00,
6/1/2006,323184.00,
7/1/2006,324204.00,
8/1/2006,325324.00,
9/1/2006,323236.00,
10/1/2006,322678.00,
11/1/2006,323343.00,
12/1/2006,326849.00,
1/1/2007,327181.00,
2/1/2007,327953.00,660.2
3/1/2007,330579.00,670.4
4/1/2007,329560.00,
5/1/2007,334202.00,
6/1/2007,331076.00,
7/1/2007,332342.00,
8/1/2007,334169.00,
9/1/2007,335442.00,
10/1/2007,337530.00,
11/1/2007,341133.00,
12/1/2007,336189.00,
1/1/2008,337412.00,
2/1/2008,334584.00,914.75
3/1/2008,335193.00,988.5
4/1/2008,334843.00,
5/1/2008,337947.00,
6/1/2008,338311.00,
7/1/2008,336771.00,
8/1/2008,334045.00,
9/1/2008,328343.00,
10/1/2008,314830.00,
11/1/2008,301332.00,
12/1/2008,294025.00,
1/1/2009,298673.00,
2/1/2009,297631.00,918.25
3/1/2009,292300.00,937.25
4/1/2009,293614.00,
5/1/2009,296501.00,
6/1/2009,302169.00,
7/1/2009,302802.00,
8/1/2009,309023.00,
9/1/2009,301033.00,
10/1/2009,304154.00,
11/1/2009,306675.00,
12/1/2009,308413.00,
1/1/2010,308529.00,
2/1/2010,308520.00,1086.5
3/1/2010,316269.00,1114
4/1/2010,318612.00,
5/1/2010,315356.00,
6/1/2010,315250.00,
7/1/2010,315546.00,
8/1/2010,317345.00,
9/1/2010,319914.00,
10/1/2010,324043.00,
11/1/2010,327635.00,
12/1/2010,329741.00,
1/1/2011,332140.00,
2/1/2011,334674.00,1331.5
3/1/2011,337935.00,1420.75
4/1/2011,340149.00,
5/1/2011,339232.00,
6/1/2011,341657.00,
7/1/2011,341274.00,
8/1/2011,342228.00,
9/1/2011,345696.00,
10/1/2011,347717.00,
11/1/2011,349352.00,
12/1/2011,349973.00,
1/1/2012,352610.00,
2/1/2012,357233.00,1740
3/1/2012,358862.00,1714
4/1/2012,356550.00,
5/1/2012,356050.00,
6/1/2012,352556.00,
7/1/2012,353782.00,
8/1/2012,358397.00,
9/1/2012,361281.00,
10/1/2012,362129.00,
11/1/2012,363013.00,
12/1/2012,364299.00,
1/1/2013,367100.00,
2/1/2013,372389.00,1669
3/1/2013,369175.00,1582.25
4/1/2013,367557.00,
5/1/2013,369337.00,
6/1/2013,370962.00,
7/1/2013,373426.00,
8/1/2013,372414.00,
9/1/2013,372091.00,
10/1/2013,373352.00,
11/1/2013,373819.00,
12/1/2013,376575.00,
1/1/2014,372607.00,
2/1/2014,378256.00,1262
3/1/2014,382077.00,1349.5
4/1/2014,386506.00,
5/1/2014,386815.00,
6/1/2014,387726.00,
7/1/2014,388072.00,
8/1/2014,391304.00,
9/1/2014,389778.00,
10/1/2014,390348.00,
11/1/2014,391679.00,
12/1/2014,388421.00,
1/1/2015,385466.00,
2/1/2015,384793.00,1272.5
3/1/2015,390948.00,1212.5
4/1/2015,390986.00,
5/1/2015,394518.00,
6/1/2015,395115.00,
7/1/2015,397720.00,
8/1/2015,397585.00,
9/1/2015,396353.00,
10/1/2015,394715.00,
11/1/2015,396257.00,
12/1/2015,397123.00,
1/1/2016,395210.00,
2/1/2016,398293.00,1126.5
3/1/2016,397196.00,1236.5
4/1/2016,398813.00,
5/1/2016,400435.00,
6/1/2016,404859.00,
7/1/2016,404315.00,
8/1/2016,404345.00,
9/1/2016,406628.00,
10/1/2016,407991.00,
11/1/2016,406761.00,
12/1/2016,412753.00,
1/1/2017,416600.00,
2/1/2017,416224.00,1203.65
3/1/2017,415464.00,1240.4
4/1/2017,418010.00,
5/1/2017,415879.00,
6/1/2017,417639.00,
7/1/2017,417908.00,
8/1/2017,418181.00,
9/1/2017,428218.00,
10/1/2017,428529.00,
11/1/2017,431841.00,
12/1/2017,433877.00,
1/1/2018,433198.00,
2/1/2018,435033.00,1341.35
3/1/2018,434510.00,1307.75
