DATE,y_monthly_retail,gas_prices,consumer_sentiments,unemployment_rate,CPI,dow_index,Consumer_debt_service,Pct_chng_prv_yr,GDPC1
7/1/1996,196187,1.2276,94.7,5.5,157,85.76,5.712678,4.1,11096.976
8/1/1996,196218,1.206,95.3,5.1,157.2,86.34,5.712678,4.1,11096.976
9/1/1996,198859,1.2024,94.7,5.2,157.7,87.72,5.712678,4.1,11096.976
10/1/1996,200509,1.204,96.5,5.2,158.2,87.28,5.777011,4.4,11212.205
11/1/1996,200174,1.23225,99.2,5.4,158.7,87.88,5.777011,4.4,11212.205
12/1/1996,201284,1.2352,96.9,5.4,159.1,87.86,5.777011,4.4,11212.205
1/1/1997,202371,1.23625,97.4,5.3,159.4,92.92,5.725713,4.3,11284.587
2/1/1997,204286,1.23,99.7,5.2,159.7,94.9,5.725713,4.3,11284.587
3/1/1997,204990,1.205,100,5.2,159.8,94.47,5.725713,4.3,11284.587
4/1/1997,203399,1.199,101.4,5.1,159.9,97,5.703414,4.3,11472.137
5/1/1997,201699,1.20025,103.2,4.9,159.9,94.77,5.703414,4.3,11472.137
6/1/1997,204675,1.1976,104.5,5,160.2,95.4,5.703414,4.3,11472.137
7/1/1997,207014,1.17425,107.1,4.9,160.4,99.5,5.718448,4.7,11615.636
8/1/1997,207635,1.2235,104.4,4.8,160.8,99,5.718448,4.7,11615.636
9/1/1997,208326,1.2314,106,4.9,161.2,96.92,5.718448,4.7,11615.636
10/1/1997,208078,1.19675,105.6,4.7,161.5,95.4,5.705666,4.5,11715.393
