DATE,y_monthly_retail,gas_prices,consumer_sentiments,unemployment_rate,CPI,dow_index,Consumer_debt_service,Pct_chng_prv_yr,GDPC1
1/1/2018,433198,2.5546,95.7,4.1,248.816,88.954,5.522311,3.1,18530.483
2/1/2018,435033,2.58725,99.7,4.1,249.475,90.551,5.522311,3.1,18530.483
3/1/2018,434510,2.59125,101.4,4,249.413,89.812,5.522311,3.1,18530.483
4/1/2018,436423,2.757,98.8,4,249.957,91.63,5.488415,3.3,18654.383
5/1/2018,441536,2.90075,98,3.8,250.64,93.959,5.488415,3.3,18654.383
6/1/2018,439651,2.89075,98.2,4,251.176,94.349,5.488415,3.3,18654.383
7/1/2018,441541,2.8486,97.9,3.8,251.482,94.275,5.50347,3.1,18752.355
8/1/2018,440241,2.83575,96.2,3.8,251.905,95.083,5.50347,3.1,18752.355
9/1/2018,441029,2.8355,100.1,3.7,252.261,94.737,5.50347,3.1,18752.355
10/1/2018,446238,2.86,98.6,3.8,252.777,96.901,5.52013,2.5,18813.923
11/1/2018,446894,2.64725,97.5,3.7,252.662,97.196,5.52013,2.5,18813.923
12/1/2018,435953,2.3656,98.3,3.9,252.653,95.735,5.52013,2.5,18813.923
1/1/2019,443420,2.24775,91.2,4,252.55,95.304,5.531891,2.3,18950.347
2/1/2019,442467,2.30925,93.8,3.8,253.181,96.043,5.531891,2.3,18950.347
3/1/2019,449925,2.516,98.4,3.8,254.095,96.845,5.531891,2.3,18950.347
4/1/2019,452012,2.7984,97.2,3.6,254.943,97.201,5.580188,2,19020.599
5/1/2019,453199,2.85925,100,3.6,255.167,97.666,5.580188,2,19020.599
6/1/2019,454039,2.71575,98.2,3.7,255.402,95.666,5.580188,2,19020.599
7/1/2019,457118,2.74,98.4,3.7,256.087,98.258,5.597518,2.1,19141.744
8/1/2019,459449,2.621,89.8,3.7,256.294,98.86,5.597518,2.1,19141.744
9/1/2019,457277,2.5922,93.2,3.5,256.593,99.021,5.597518,2.1,19141.744
10/1/2019,459978,2.627,95.5,3.6,257.229,97.154,5.614131,2.3,19253.959
11/1/2019,460760,2.59775,96.8,3.5,257.824,98.202,5.614131,2.3,19253.959
12/1/2019,460512,2.555,99.3,3.5,258.444,96.058,5.614131,2.3,19253.959
1/1/2020,464062,2.54775,99.8,3.6,258.82,97.213,5.573004,0.3,19010.848
2/1/2020,461914,2.442,101,3.5,259.05,98.081,5.573004,0.3,19010.848
3/1/2020,438221,2.2342,89.1,4.4,257.953,99.092,5.573004,0.3,19010.848
4/1/2020,382734,1.8405,71.8,14.7,255.902,99.028,4.972469,-9,17302.511
5/1/2020,448788,1.8695,72.3,13.3,255.768,98.341,4.972469,-9,17302.511
6/1/2020,479823,2.0822,78.1,11.1,257.214,97.349,4.972469,-9,17302.511
7/1/2020,482372,2.18325,72.5,10.2,258.723,93.321,4.972469,-9,17302.511
8/1/2020,482882,2.1824,74.1,8.4,259.681,92.131,4.972469,-9,17302.511
9/1/2020,,2.18275,,7.9,,93.927,4.972469,-9,17302.511
,,,,,,93.688,4.972469,-9,17302.511
