"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 15, 2017","1,026.48","1,021.94","1,029.36","1,020.95","355.36M","1.02%"
"Dec 14, 2017","1,016.10","1,020.98","1,023.91","1,014.53","221.81M","-0.35%"
"Dec 13, 2017","1,019.62","1,017.88","1,021.45","1,017.24","206.37M","0.34%"
"Dec 12, 2017","1,016.19","1,018.93","1,021.04","1,015.81","237.56M","-0.36%"
"Dec 11, 2017","1,019.83","1,020.40","1,020.94","1,016.09","195.57M","-0.02%"
"Dec 08, 2017","1,020.04","1,014.58","1,021.60","1,012.72","216.26M","0.95%"
"Dec 07, 2017","1,010.44","1,009.73","1,013.05","1,007.41","229.40M","0.22%"
"Dec 06, 2017","1,008.20","1,010.29","1,026.12","985.38","224.68M","-0.21%"
"Dec 05, 2017","1,010.29","1,013.58","1,017.84","1,009.55","269.96M","-0.48%"
"Dec 04, 2017","1,015.13","1,015.93","1,021.12","1,012.78","376.41M","0.67%"
"Dec 01, 2017","1,008.35","1,011.02","1,012.21","993.66","295.05M","-0.50%"
"Nov 30, 2017","1,013.38","1,009.42","1,017.84","1,008.27","466.80M","0.97%"
"Nov 29, 2017","1,003.61","1,002.70","1,006.90","997.50","468.22M","0.22%"
"Nov 28, 2017","1,001.37","990.95","1,001.43","988.56","276.53M","1.38%"
"Nov 27, 2017","987.74","989.71","993.69","985.50","229.27M","0.39%"
"Nov 24, 2017","983.92","983.48","985.16","981.89","116.48M","0.42%"
"Nov 22, 2017","979.84","976.97","982.25","976.44","224.09M","0.44%"
"Nov 21, 2017","975.50","973.58","975.55","970.38","282.50M","0.46%"
"Nov 20, 2017","971.08","968.31","971.51","967.02","248.09M","0.21%"
"Nov 17, 2017","969.05","967.78","972.30","967.31","326.24M","0.28%"
"Nov 16, 2017","966.33","955.43","966.58","954.92","278.74M","1.98%"
"Nov 15, 2017","947.60","949.91","952.26","945.33","263.64M","-0.98%"
"Nov 14, 2017","956.97","949.75","957.00","948.44","243.36M","0.40%"
"Nov 13, 2017","953.20","950.97","961.21","950.97","267.72M","0.11%"
"Nov 10, 2017","952.13","946.42","953.04","946.38","324.52M","0.44%"
"Nov 09, 2017","947.94","943.11","948.34","939.76","325.63M","0.12%"
"Nov 08, 2017","946.83","939.66","948.40","938.42","214.75M","0.73%"
"Nov 07, 2017","939.98","941.87","944.38","935.99","217.34M","-0.07%"
"Nov 06, 2017","940.66","942.66","944.59","939.25","212.76M","-0.31%"
"Nov 03, 2017","943.58","936.26","945.05","935.22","245.82M","0.69%"
"Nov 02, 2017","937.08","938.54","939.93","932.48","278.82M","-0.15%"
"Nov 01, 2017","938.51","937.57","941.98","936.48","242.51M","0.17%"
"Oct 31, 2017","936.95","937.20","938.96","935.67","224.79M","0.05%"
"Oct 30, 2017","936.46","937.34","941.66","934.24","276.19M","-0.40%"
"Oct 27, 2017","940.21","935.63","940.88","929.80","406.95M","2.35%"
"Oct 26, 2017","918.62","922.02","927.57","917.46","255.88M","-0.05%"
"Oct 25, 2017","919.07","922.41","922.86","913.44","199.09M","-0.21%"
"Oct 24, 2017","921.02","918.63","923.20","917.21","181.95M","0.41%"
"Oct 23, 2017","917.30","921.11","923.17","916.65","215.89M","-0.30%"
"Oct 20, 2017","920.03","919.72","921.09","917.70","221.05M","0.44%"
"Oct 19, 2017","916.01","913.96","916.68","911.20","169.14M","-0.12%"
"Oct 18, 2017","917.10","920.29","922.04","917.00","190.92M","-0.25%"
"Oct 17, 2017","919.40","917.41","921.46","915.86","210.50M","0.08%"
"Oct 16, 2017","918.66","921.55","921.81","915.74","263.02M","-0.22%"
"Oct 13, 2017","920.66","922.12","923.91","920.47","225.79M","0.20%"
"Oct 12, 2017","918.83","919.32","921.66","914.90","280.18M","-0.04%"
"Oct 11, 2017","919.17","919.40","921.03","917.50","284.22M","0.23%"
"Oct 10, 2017","917.02","919.40","921.30","914.48","230.10M","0.24%"
"Oct 09, 2017","914.79","923.17","923.17","913.57","241.12M","-0.67%"
"Oct 06, 2017","920.94","921.73","926.01","919.74","266.70M","-0.65%"
"Oct 05, 2017","927.01","919.10","927.11","918.36","208.91M","1.04%"
"Oct 04, 2017","917.48","916.14","920.60","916.00","213.58M","0.15%"
"Oct 03, 2017","916.11","914.32","917.40","914.13","214.30M","0.24%"
"Oct 02, 2017","913.95","915.86","915.86","911.18","278.63M","-0.06%"
"Sep 29, 2017","914.53","913.94","916.82","913.42","223.71M","0.19%"
"Sep 28, 2017","912.79","910.79","913.16","909.51","237.63M","0.05%"
"Sep 27, 2017","912.31","910.11","914.47","905.08","210.37M","0.59%"
"Sep 26, 2017","906.93","907.76","909.75","903.74","203.15M","0.24%"
"Sep 25, 2017","904.77","902.41","907.86","901.55","226.42M","-0.00%"
"Sep 22, 2017","904.78","903.04","906.04","902.58","209.10M","0.04%"
"Sep 21, 2017","904.46","907.80","907.80","901.91","219.46M","-0.36%"
"Sep 20, 2017","907.69","908.21","910.45","902.03","273.74M","-0.03%"
"Sep 19, 2017","908.00","914.01","915.40","906.90","310.96M","-0.49%"
"Sep 18, 2017","912.45","919.07","922.10","911.72","225.63M","-0.57%"
"Sep 15, 2017","917.66","917.45","920.10","915.28","371.20M","0.03%"
"Sep 14, 2017","917.35","921.97","921.97","916.63","218.79M","-0.68%"
"Sep 13, 2017","923.63","915.99","923.86","915.99","260.83M","0.87%"
"Sep 12, 2017","915.68","909.31","917.87","908.24","261.94M","0.99%"
"Sep 11, 2017","906.68","904.82","907.26","902.97","232.89M","0.58%"
"Sep 08, 2017","901.41","906.82","907.52","899.13","281.94M","-0.68%"
"Sep 07, 2017","907.58","906.64","908.38","904.34","285.15M","0.55%"
"Sep 06, 2017","902.64","896.97","904.12","896.59","277.11M","1.01%"
"Sep 05, 2017","893.64","891.14","897.01","888.58","240.69M","0.17%"
"Sep 01, 2017","892.13","890.90","893.06","889.94","227.51M","0.46%"
"Aug 31, 2017","888.08","886.28","889.65","885.92","286.61M","0.53%"
"Aug 30, 2017","883.36","878.72","884.93","877.70","225.23M","0.66%"
"Aug 29, 2017","877.57","870.92","878.98","869.61","241.66M","0.05%"
"Aug 28, 2017","877.16","879.24","879.61","876.13","229.14M","0.05%"
"Aug 25, 2017","876.74","875.62","880.36","874.30","314.01M","0.38%"
