,DATE,compound,gas_prices,consumer_sentiments,unemployment_rate,dow_index,Consumer_debt_service,Pct_chng_prv_yr,Sales,GDP
22,11/1/2016,0.0,2.1815,93.8,4.7,0.0132621494860794,5.59175,2.1,87065.74070609723,2760.3994119613976
23,11/1/2016,0.0,2.1815,93.8,4.7,0.0132621494860794,5.59175,2.1,87065.74070609723,2760.3994119613976
24,11/1/2016,0.0,2.1815,93.8,4.7,0.0132621494860794,5.59175,2.1,87065.74070609723,2760.3994119613976
25,11/1/2019,0.0,2.59775,96.8,3.5,0.0103502201736696,5.614131,2.3,155602.46174913755,4612.023799136463
26,11/1/2019,0.0,2.59775,96.8,3.5,0.0103502201736696,5.614131,2.3,155602.46174913755,4612.023799136463
27,11/1/2019,0.0,2.59775,96.8,3.5,0.0103502201736696,5.614131,2.3,155602.46174913755,4612.023799136463
28,11/1/2019,0.0,2.59775,96.8,3.5,0.0103502201736696,5.614131,2.3,155602.46174913755,4612.023799136463
29,12/1/2017,0.0,2.47675,95.9,4.1,-0.10226228418356376,5.576678,2.7,23557.30940992309,471.85224596698026
30,12/1/2017,0.0,2.47675,95.9,4.1,-0.10226228418356376,5.576678,2.7,23557.30940992309,471.85224596698026
31,12/1/2017,0.0,2.47675,95.9,4.1,-0.10226228418356376,5.576678,2.7,23557.30940992309,471.85224596698026
32,12/1/2017,0.0,2.47675,95.9,4.1,-0.10226228418356376,5.576678,2.7,23557.30940992309,471.85224596698026
33,11/1/2012,0.149275,3.45175,82.7,7.7,0.021301805302518684,4.877597,1.5,36892.823360359005,866.3517695615938
34,11/1/2013,0.4582,3.24275,75.1,6.9,0.006162444020308522,5.210367,2.6,47667.32448322059,1305.7270850814893
35,11/1/2014,0.115883333,2.91225,88.8,5.8,0.09616028367035723,5.296709,2.9,66604.40469070898,1833.807636443793
36,11/1/2015,0.388111111,2.158,91.3,5.1,0.13343060409668261,5.399252,2.2,73353.33050768985,2286.283447408137
37,11/1/2017,0.49942,2.5635,98.5,4.2,-0.08407606929357203,5.576678,2.7,116289.42822629766,3382.5564969357984
38,11/1/2018,0.327625,2.64725,97.5,3.7,0.04509580439130345,5.52013,2.5,136264.7699207165,3997.489419531094
39,12/1/1993,0.50055,1.014,88.2,6.5,0.03824438052625956,4.755414,2.6,-125760.23381627245,-4202.5218314891745
40,12/1/1995,-0.133071429,1.07125,91.0,5.6,-0.04352238132822184,5.594352,2.2,-93826.98285075813,-3280.1217894626293
41,12/1/1997,0.3624,1.1314,102.1,4.7,0.13328021852947858,5.705666000000001,4.5,-69531.11070505576,-2148.8569145963143
42,12/1/1998,0.684171429,0.945,100.5,4.4,-0.05634227176860496,5.761093,4.9,-54482.408991949465,-1553.1820270888309
43,12/1/1999,0.393728571,1.2725,105.4,4.0,0.08056619838229051,5.95983,4.8,-32070.754526704837,-974.016502301496
44,12/1/2000,0.1875125,1.44275,98.4,3.9,0.07633211858563982,6.341266,3.0,-27909.14982367796,-637.0378396517444
45,12/1/2001,-0.107625,1.086,88.8,5.7,0.07256588579795009,6.712248,0.2,-24116.55317564565,-695.528778243066
46,12/1/2002,0.138055556,1.3858,86.7,6.0,-0.12754884395529387,6.502536,2.1,-17873.47965674498,-527.1139085291707
47,12/1/2004,0.58515,1.841,97.1,5.4,-0.07173962869585149,6.237751,3.3,6826.500004838337,221.5211621378894
48,12/1/2005,0.909933333,2.185,91.5,4.9,0.12296296296296294,6.10349,3.1,14695.305022472285,491.35969998928886
49,12/1/2006,0.155633333,2.31275,91.7,4.4,-0.08278364116094972,5.919763,2.6,21482.947173588735,674.5628230232069
50,12/1/2007,0.151166667,3.0184,75.5,5.0,-0.08066642694474413,6.00891,2.0,23554.145508613554,754.5917563735184
51,12/1/2008,0.27562,1.6869999999999998,60.1,7.3,0.07105606258148645,5.8646699999999985,-2.8,-26505.807764010737,79.70112340971355
52,12/1/2009,0.523625,2.60725,72.5,9.9,-0.04783931832014621,5.417978,0.2,-20602.341776784742,-147.68907234645667
53,12/1/2010,0.144425,2.9930000000000003,74.5,9.3,0.013653796982868727,5.027983,2.6,-8292.319532356225,-21.593640575374593
54,12/1/2011,0.1424375,3.26575,69.9,8.5,0.015563515286045604,5.013645,1.6,2456.2724302373244,-48.12108528719
55,12/1/2013,-0.298725,3.2764,82.5,6.7,0.003981420039813832,5.210367,2.6,8986.414982332615,22.92243957963365
56,12/1/2014,0.245875,2.5426,93.6,5.6,0.13041689009714563,5.296709,2.9,10382.970908718531,196.99898917938842
57,12/1/2015,-0.4215,2.0375,92.6,5.0,0.08933555440334473,5.399252,2.2,8444.025887942116,257.4814201353911
58,12/1/2016,0.30265,2.25425,98.2,4.7,0.035860043546508624,5.59175,2.1,13296.8184003036,305.31079388225413
59,12/1/2018,0.3466,2.3656,98.3,3.9,0.042569642584888934,5.52013,2.5,14725.149369420484,608.3390926904102
60,12/1/2019,0.222725,2.555,99.3,3.5,0.0033738966939991233,5.614131,2.3,28358.265413034824,729.9147426996568
