DATE,NYT_sentiment,gas_prices,consumer_sentiments,unemployment_rate,CPI,retail_index,Consumer_debt_service,GDP_growth,sales,GDP
2004-11-01,0.05795,1.9794,92.8,5.4,0.18367888782259456,81.82,6.237751,3.3,9335.421001961338,265.4355062161594
2004-12-01,0.58515,1.841,97.1,5.4,-2.2272278433508745,81.0,6.237751,3.3,8198.997378757515,110.01907678249336
2005-11-01,0.408385714,2.25675,81.6,5.0,1.7529678457412956,91.51,6.10349,3.1,17148.7294015332,417.0056449667809
2005-12-01,0.909933333,2.185,91.5,4.9,-0.667908227829713,90.96,6.10349,3.1,12862.009363034042,273.06723525008783
2006-11-01,0.041875,2.22925,92.1,4.5,0.8168741481037785,82.85,5.919763,2.6,18399.511600129772,525.1092435853843
2006-12-01,0.155633333,2.31275,91.7,4.4,-0.4855373716482916,83.43,5.919763,2.6,17679.871693838155,392.15239890359953
2007-11-01,0.08545714300000001,3.08,76.1,4.7,4.865494321381362,76.17,6.00891,2.0,27816.225530426716,568.9212368584085
2007-12-01,0.151166667,3.0184,75.5,5.0,3.1199097965172484,76.7,6.00891,2.0,18762.659076354175,444.4471978541769
2008-11-01,0.41938000000000003,2.147,55.3,6.8,2.5016086891329508,86.705,5.864669999999999,-2.8,-20223.126842877362,-111.41685347776911
2008-12-01,0.27562,1.6869999999999998,60.1,7.3,-1.5474593090206952,82.15,5.864669999999999,-2.8,-31747.158063688374,-232.31483200477487
2009-11-01,0.29765,2.6514,67.4,9.9,2.027091988376327,74.935,5.417978,0.2,-23458.820968222688,-325.6100170607515
2009-12-01,0.523625,2.60725,72.5,9.9,-0.08738407028792494,78.22,5.417978,0.2,-26263.659964834573,-448.67349120962535
2010-11-01,0.37835,2.859,71.6,9.8,-0.037801069117932684,81.271,5.027983,2.6,-11787.557698772987,-180.0128307546438
2010-12-01,0.144425,2.9930000000000003,74.5,9.3,-1.3150179771741932,79.288,5.027983,2.6,-14635.982027808554,-309.5871910670503
2011-11-01,0.0,3.38375,63.7,8.6,3.2571298621509186,78.491,5.0136449999999995,1.6,-186.03358615055913,-190.0602194988678
2011-12-01,0.1424375,3.26575,69.9,8.5,1.2216289917008396,80.52199999999999,5.0136449999999995,1.6,-4921.6655192406615,-328.9150714076932
2012-11-01,0.149275,3.45175,82.7,7.7,3.192430248155347,80.163,4.877597,1.5,2577.28529847099,-238.03911451393833
2012-12-01,0.38201666700000003,3.3104,72.9,7.9,1.1417209500741308,79.87100000000001,4.877597,1.5,-1847.9419665161986,-387.6891446183781
2013-11-01,0.4582,3.24275,75.1,6.9,2.0266931471121836,80.657,5.210367,2.6,1803.2810489855474,-118.36918307522137
2013-12-01,-0.298725,3.2764,82.5,6.7,0.6758253133304208,80.189,5.210367,2.6,-1453.26232810691,-278.90494552328164
2014-11-01,0.115883333,2.91225,88.8,5.8,0.9883292395727779,88.413,5.296709,2.9,7507.084178467747,34.873833138040936
2014-12-01,0.245875,2.5426,93.6,5.6,-1.6820056741374287,90.647,5.296709,2.9,-2012.1148660741746,-135.36626639970927
