DATE,NYT_sentiment,gas_prices,consumer_sentiments,unemployment_rate,CPI,retail_index,Consumer_debt_service,GDP_growth,sales,GDP
12/1/1999,0.393728571,1.2725,105.4,4.0,-19.910294761847354,101.53,5.95983,4.8,-32070.75452670484,-974.0165023014961
12/1/2000,0.1875125,1.44275,98.4,3.9,-14.587062021118555,109.28,6.341266,3.0,-27909.14982367796,-637.0378396517444
12/1/2001,-0.107625,1.0859999999999999,88.8,5.7,-12.7508812359861,117.21,6.712248,0.2,-24116.553175645648,-695.528778243066
12/1/2002,0.138055556,1.3858,86.7,6.0,-9.780205454483962,102.26,6.502536,2.1,-17873.47965674498,-527.1139085291707
12/1/2003,0.40045714299999996,1.4788,92.6,5.7,-7.945518423873494,87.26,6.371153,4.3,-10306.371495378087,-78.74311547736215
12/1/2004,0.58515,1.841,97.1,5.4,-4.011191263006879,81.0,6.237751,3.3,6826.500004838337,221.5211621378894
12/1/2005,0.909933333,2.185,91.5,4.9,-0.2366291417214086,90.96,6.10349,3.1,14695.305022472283,491.35969998928886
12/1/2006,0.155633333,2.31275,91.7,4.4,1.82126976468507,83.43,5.919763,2.6,21482.947173588735,674.5628230232069
12/1/2007,0.151166667,3.0184,75.5,5.0,6.950755174128119,76.7,6.00891,2.0,23554.145508613554,754.5917563735184
12/1/2008,0.27562,1.6869999999999998,60.1,7.3,3.456938510920537,82.15,5.864669999999999,-2.8,-26505.807764010737,79.70112340971355
12/1/2009,0.523625,2.60725,72.5,9.9,5.765586977391223,78.22,5.417978,0.2,-20602.341776784742,-147.68907234645667
12/1/2010,0.144425,2.9930000000000003,74.5,9.3,5.0923071892996745,79.288,5.027983,2.6,-8292.319532356225,-21.593640575374593
12/1/2011,0.1424375,3.26575,69.9,8.5,7.919102270544727,80.52199999999999,5.0136449999999995,1.6,2456.2724302373244,-48.12108528719
12/1/2012,0.38201666700000003,3.3104,72.9,7.9,7.8957926530319185,79.87100000000001,4.877597,1.5,6906.630271666334,-103.11141446669535
12/1/2013,-0.298725,3.2764,82.5,6.7,7.299249329747937,80.189,5.210367,2.6,8986.414982332615,22.922439579633647
12/1/2014,0.245875,2.5426,93.6,5.6,4.683408423271402,90.647,5.296709,2.9,10382.970908718533,196.99898917938845
12/1/2015,-0.4215,2.0375,92.6,5.0,2.003644025349786,98.745,5.399252,2.2,8444.025887942116,257.4814201353911
12/1/2016,0.30265,2.25425,98.2,4.7,2.7374030974660855,102.286,5.59175,2.1,13296.8184003036,305.3107938822541
12/1/2017,0.0,2.47675,95.9,4.1,3.636880323587377,91.82600000000001,5.576678,2.7,23557.309409923095,471.85224596698026
12/1/2018,0.3466,2.3656,98.3,3.9,4.197559510744867,95.735,5.52013,2.5,14725.149369420484,608.3390926904103
12/1/2019,0.222725,2.555,99.3,3.5,5.739651415767526,96.05799999999999,5.6141309999999995,2.3,28358.265413034824,729.9147426996569
