"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 14","737.82","687.04","740.69","682.97","1.06B","7.48%"
"Oct 14","686.49","666.24","690.21","632.33","1.47B","2.89%"
"Sep 14","667.18","676.79","685.20","664.26","1.25B","-1.32%"
"Aug 14","676.13","638.87","677.60","633.81","1.15B","5.72%"
"Jul 14","639.52","647.39","659.13","639.52","1.17B","-1.07%"
"Jun 14","646.45","640.82","655.75","636.83","1.29B","0.92%"
"May 14","640.58","633.62","640.74","615.13","1.24B","1.18%"
"Apr 14","633.11","645.76","654.45","616.49","1.29B","-1.85%"
"Mar 14","645.02","657.66","665.85","637.50","1.29B","-2.32%"
"Feb 14","660.34","621.30","663.79","601.84","1.26B","6.35%"
"Jan 14","620.91","661.60","662.58","617.21","1.41B","-6.22%"
"Dec 13","662.11","658.87","663.60","639.92","1.23B","0.75%"
"Nov 13","657.17","636.91","659.51","629.09","1.19B","3.36%"
"Oct 13","635.82","604.19","639.24","588.92","1.37B","5.33%"
"Sep 13","603.66","579.65","617.07","577.06","1.15B","4.62%"
"Aug 13","576.98","605.31","611.53","574.88","1.04B","-4.41%"
"Jul 13","603.58","570.84","607.77","570.81","908.07M","6.07%"
"Jun 13","569.04","572.44","583.03","553.00","1.16B","-0.57%"
"May 13","572.32","557.33","589.51","553.20","1.08B","2.63%"
"Apr 13","557.64","543.87","562.04","537.18","1.16B","2.74%"
"Mar 13","542.77","520.89","543.20","519.10","1.13B","4.01%"
"Feb 13","521.85","520.10","527.03","510.02","1.05B","0.63%"
"Jan 13","518.57","491.96","524.15","491.96","843.96M","6.16%"
"Dec 12","488.49","498.10","499.95","477.67","1.11B","-1.92%"
"Nov 12","498.06","486.73","498.87","466.88","1.21B","2.36%"
"Oct 12","486.57","491.90","504.10","479.54","1.05B","-0.94%"
"Sep 12","491.21","482.94","501.27","480.24","1.07B","1.70%"
"Aug 12","483.00","468.27","484.95","459.69","1.19B","3.39%"
"Jul 12","467.15","461.56","474.13","452.60","1.26B","1.29%"
"Jun 12","461.21","444.23","463.99","435.65","1.51B","3.29%"
"May 12","446.53","463.39","467.70","432.78","1.55B","-3.63%"
"Apr 12","463.35","454.72","467.70","440.20","1.27B","1.72%"
"Mar 12","455.52","435.47","462.60","433.22","1.38B","4.61%"
"Feb 12","435.44","421.79","437.65","421.65","1.21B","3.24%"
"Jan 12","421.77","407.50","427.53","402.44","1.28B","4.05%"
"Dec 11","405.36","403.09","412.32","392.87","1.30B","0.46%"
"Nov 11","403.52","400.80","414.56","382.85","1.50B","-0.14%"
"Oct 11","404.09","371.33","414.57","356.44","1.60B","8.53%"
"Sep 11","372.32","388.19","400.42","366.47","1.83B","-4.04%"
"Aug 11","388.01","406.87","407.42","347.42","2.41B","-4.14%"
"Jul 11","404.78","408.26","425.87","400.95","1.31B","-0.76%"
"Jun 11","407.86","411.25","411.45","387.61","1.89B","-0.94%"
"May 11","411.71","411.90","422.54","403.97","1.57B","-0.04%"
"Apr 11","411.89","392.69","414.61","392.69","1.33B","4.89%"
"Mar 11","392.68","392.11","395.17","376.45","1.84B","0.15%"
"Feb 11","392.10","382.15","402.16","382.13","1.45B","2.60%"
"Jan 11","382.15","383.64","393.11","376.52","1.55B","-0.39%"
"Dec 10","383.63","369.56","386.26","369.56","1.57B","3.81%"
"Nov 10","369.55","356.40","373.43","354.03","1.69B","3.69%"
"Oct 10","356.40","349.53","360.12","344.82","1.80B","1.97%"
"Sep 10","349.51","308.53","353.65","308.52","1.73B","13.31%"
"Aug 10","308.46","323.21","329.17","307.50","2.03B","-4.56%"
"Jul 10","323.20","309.63","330.66","305.05","2.07B","4.38%"
"Jun 10","309.63","347.01","351.95","309.06","2.44B","-10.77%"
"May 10","347.01","366.81","372.62","333.74","2.42B","-5.40%"
"Apr 10","366.83","360.28","381.96","359.68","1.80B","1.82%"
"Mar 10","360.27","339.29","365.24","338.81","1.88B","6.18%"
"Feb 10","339.29","325.66","340.41","316.73","1.68B","4.19%"
"Jan 10","325.66","331.35","336.87","324.49","1.86B","-1.72%"
"Dec 09","331.35","327.37","337.02","322.02","1.87B","1.22%"
"Nov 09","327.37","315.06","332.68","313.32","1.95B","3.91%"
"Oct 09","315.05","315.25","334.98","308.23","2.32B","-0.06%"
"Sep 09","315.25","306.91","321.68","300.89","2.15B","2.72%"
"Aug 09","306.91","295.00","311.70","293.32","1.87B","4.04%"
"Jul 09","294.99","274.89","298.80","262.93","1.94B","7.31%"
"Jun 09","274.89","273.87","287.99","266.32","2.32B","0.38%"
"May 09","273.84","281.56","287.60","266.28","2.16B","-2.74%"
"Apr 09","281.56","257.83","285.41","252.36","2.31B","9.20%"
"Mar 09","257.83","234.54","266.61","215.50","2.63B","9.93%"
"Feb 09","234.54","241.26","257.77","229.74","2.23B","-2.79%"
"Jan 09","241.26","259.33","271.06","240.17","2.23B","-6.98%"
"Dec 08","259.37","250.22","265.68","230.19","2.42B","3.66%"
"Nov 08","250.22","272.17","273.92","208.48","2.41B","-8.06%"
"Oct 08","272.17","319.79","319.79","231.68","3.28B","-14.89%"
"Sep 08","319.79","341.59","359.01","309.27","2.75B","-6.38%"
"Aug 08","341.58","321.34","353.57","315.77","2.16B","6.30%"
"Jul 08","321.34","320.01","333.50","299.87","2.86B","0.37%"
"Jun 08","320.17","349.91","357.53","319.70","2.65B","-8.50%"
"May 08","349.91","347.81","359.24","338.13","2.48B","0.61%"
"Apr 08","347.79","330.21","355.58","330.21","2.58B","5.32%"
"Mar 08","330.23","326.61","345.26","307.27","3.51B","1.11%"
"Feb 08","326.61","347.53","352.06","325.29","3.01B","-6.02%"
"Jan 08","347.53","345.79","350.83","311.07","4.22B","0.50%"
"Dec 07","345.79","358.14","367.18","340.87","2.61B","-3.46%"
"Nov 07","358.20","373.01","373.01","339.49","3.37B","-4.00%"
"Oct 07","373.11","372.73","388.32","357.23","3.12B","0.10%"
"Sep 07","372.72","377.13","386.14","357.11","2.77B","-1.17%"
